ACG 2021, Principles of Financial Accounting
MMC 3602, Media and Society
MMC 3734, Social Media as Mass Communication
MMC 4111, Entrepreneurial Journalism
MMC 4120, Media Convergence
MMC 4131, Video Storytelling
MMC 4133, Video Storytelling II
MMC 4141, Web Publishing II
MMC 4200, History and Principles of Communications Law
MMC 4203, Communication Ethics
MMC 4208, Media Law and Ethics
MMC 4211, Communication Law and Democracy
MMC 4420, Research Methods in Mass Communications
MMC 4900, Directed Reading in Mass Communications
MMC 4910, Individual Research in Mass Communications
MMC 4936, Selected Topics in Mass Communications Studies
MMC 4945, Internship
MSL 2900, Army Physical Readiness
MSL 4930, Advanced Directed Study and Research
MTG 3207, Geometry Connections
MTG 3212, Geometry
MTG 4214, Modern Geometry
MTG 4254, Differential Geometry
MTG 4302, Introduction to Topology
MUC 1211, Freshman Composition and Instrumentation 1
MUC 1212, Freshman Composition and Instrumentation 2
MUC 2221, Sophomore Composition and Instrumentation 1
MUC 2222, Sophomore Composition and Instrumentation 2
MUC 2301, Introduction To Electronic Music
MUC 3231, Junior Composition and Instrumentation 1
MUC 3232, Junior Composition and Instrumentation 2
MUC 3401, Electronic Music-Analog Synthesis I
MUC 3402, Electronic Music-Analog Synthesis II
MUC 3441, Electronic Music-Digital Synthesis I
MUC 3442, Electronic Music-Digital Synthesis II
MUC 4241, Senior Composition and Instrumentation
MUC 4403, Electronic Music-Real-Time Performance I
MUC 4404, Electronic Music-Real-Time Performance II
MUC 4950, Senior Recital/Project/Portfolio Presentation
MUE 1111, Keyboard Skills for Music Educators I
MUE 1121, Keyboard Skills for Music Educators II
MUE 2090, Foundations of Music Education
MUE 3414, Creative Performance Chamber Ensemble
MUE 3415, Creative Performance Chamber Ensemble II
MUE 3421, Choral Techniques
MUE 3422, Wind Techniques
MUE 3423, String Techniques
MUE 3424, Progressive Music Education Methods I
MUE 3425, Progressive Music Education Methods II
MUE 3475, Percussion Techniques
MUE 3691, Introduction to Technology for Music Educators
MUE 4311, General Music Methods
MUE 4331, Choral Methods
MUE 4332, Instrumental Methods
MUE 4480, Marching Band Methods
MUE 4930, General Music Pedagogy
MUE 4936, Senior Seminar in Music Education
MUE 4940, Internship: Music Education
MUE 4941, Global Awareness Music Education Internship
MUG 3104, Basic Conducting
MUG 3108, Advanced Conducting
MUG 4302, Instrumental Conducting
MUH 2020, The History of Blues and Rock
MUH 2051, Folk and Traditional Music of World Cultures
MUH 3016, Survey of Jazz
MUH 3300, Music History/Medieval and Renaissance
MUH 3301, Music History/Baroque and Classic
MUH 3302, Music History/Romantic and 20th Century
MUH 4003, History of Musical Instruments
MUH 4058, Intercultural Music in the Twentieth Century
MUH 4801, History of Jazz
MUL 2010, Music and Culture
MUL 3001, Issues In Music
MUL 3011, Western Art Music in Your Life
MUN 1100, University Pep Band and Winter Guard
MUN 1110, University Marching Band
MUN 1120, Concert Band
MUN 1439, Tuba-Euphonium Ensemble
MUN 3113, Marching Ensemble for Experienced Members
MUN 3133, Symphonic Band
MUN 3143, Wind Ensemble
MUN 3213, University Orchestra
MUN 3313, University Singers
MUN 3343, Chamber Singers
MUN 3383, University-Community Chorus
MUN 3411, String Quartet
MUN 3424, Woodwind Quintet
MUN 3427, Flute Choir
MUN 3431, Brass Quintet
MUN 3433, Brass Choir
MUN 3443, Percussion Ensemble
MUN 3444, Marimba Ensemble
MUN 3453, Piano Ensemble
MUN 3474, Collegium Musicum
MUN 3713, Jazz Ensemble
MUN 3714, Jazz Chamber Ensemble
MUO 3503, Opera Workshop
MUM 2050, Introduction to Entrepreneurship in Music
MUS 2010, Recital Attendance
MUS 2201, Language Diction For Singers
MUS 2301, Beat Making and Arranging
MUS 2302, Hip Hop and Vocal Songwriting
MUS 2304, Intro to DJ
MUS 3351, Commercial Music Techniques
MUS 3352, Seminar in Commercial Music
MUS 3353, Commercial Musicianship
MUS 3373, Video Recording Production
MUS 4652, Music and Medicine
MUS 4801, Fit to Play- mind body music
MUS 4900, Directed Reading in Music Performance Medicine
MUS 4905, Directed Study
MUS 4930, Selected Topics In Music
MUS 4931, Selected Studio Topics In Music
MUS 4935, Music Senior Seminar
MUT 1001, Rudiments Of Music
MUT 1111, Music Theory I
MUT 1112, Music Theory II
MUT 1241, Aural Theory I
MUT 1242, Aural Theory II
MUT 2116, Music Theory III
MUT 2117, Music Theory IV
MUT 2246, Aural Theory III
MUT 2247, Aural Theory IV
MUT 2641, Jazz Theory and Improvisation I
MUT 2642, Jazz Theory and Improvisation II
MUT 3353, Jazz Composition and Arranging I
MUT 3354, Jazz Composition And Arranging II
MUT 3663, Advanced Jazz Improvisation I
MUT 3664, Advanced Jazz Improvisation II
MUT 4421, Eighteenth Century Practice
MUT 4571, Twentieth Century Practice
MUT 4611, Form and Analysis
MVB 1311, Trumpet Principal
MVB 1312, French Horn Principal
MVB 1313, Trombone Principal
MVB 1314, Euphonium Principal
MVB 1315, Tuba Principal
MVB 1411, Trumpet Major
MVB 1412, French Horn Major
MVB 1413, Trombone Major
MVB 1415, Tuba Major
MVB 2321, Trumpet Principal
MVB 2322, French Horn Principal
MVB 2323, Trombone Principal
MVB 2324, Euphonium Principal
MVB 2325, Tuba Principal
MVB 2421, Trumpet Major
MVB 2422, French Horn Major
MVB 2423, Trombone Major
MVB 2424, Euphonium Major
MVB 2425, Tuba Major
MVB 3331, Trumpet Principal
MVB 3332, French Horn Principal
MVB 3333, Trombone Principal
MVB 3334, Euphonium Principal
MVB 3335, Tuba Principal
MVB 3431, Trumpet Major
MVB 3432, French Horn Major
MVB 3433, Trombone Major
MVB 3434, Euphonium Major
MVB 3435, Tuba Major
MVB 4341, Trumpet Principal
MVB 4342, French Horn Principal
MVB 4343, Trombone Principal
MVB 4344, Euphonium Principal
MVB 4345, Tuba Principal
MVB 4441, Trumpet Major
MVB 4442, French Horn Major
MVB 4443, Trombone Major
MVB 4445, Tuba Major
MVJ 1210, Applied Jazz Piano
MVJ 1219, Jazz Percussion
MVJ 1310, Applied Jazz Piano Principal
MVJ 1319, Applied Jazz Percussion Principal
MVJ 1410, Applied Jazz Piano Major
MVJ 1414, Jazz Bass Major
MVJ 1419, Jazz Percussion Major
MVJ 2110, Jazz Keyboard Skills
MVJ 2320, Applied Jazz Piano Principal
MVJ 2329, Applied Jazz Percussion Principal
MVJ 2424, Jazz Bass Major
MVJ 2425, Jazz Percussion Major
MVJ 3330, Applied Jazz Piano Principal
MVJ 3434, Jazz Bass Major
MVJ 3439, Applied Jazz Percussion
MVJ 4340, Jazz Piano Principal
MVJ 4349, Jazz Percussion Principal
MVJ 4443, Jazz Guitar Major
MVJ 4444, Jazz Bass Major
MVJ 4449, Jazz Percussion Major
MVJ 4950, Applied Jazz Performance
MVK 1111, Keyboard Skills I
MVK 1125, Keyboard Skills II
MVK 1311, Piano Principal
MVK 1411, Piano Major
MVK 1811, Beginning Piano I
MVK 2121, Keyboard Skills III
MVK 2122, Keyboard Skills IV
MVK 2321, Piano Principal
MVK 2421, Piano Major
MVK 2813, Intermediate Piano
MVK 3331, Piano Principal
MVK 3431, Piano Major
MVK 4341, Piano Principal
MVK 4441, Piano Major
MVK 4640, Piano Pedagogy I
MVK 4641, Piano Pedagogy II
MVP 1311, Percussion Principal
MVP 1411, Percussion Major
MVP 2321, Percussion Principal
MVP 2421, Percussion Major
MVP 3331, Percussion Principal
MVP 3431, Percussion Major
MVP 4341, Percussion Principal
MVP 4441, Percussion Major
MVS 1211, Applied Violin
MVS 1213, Applied Violoncello
MVS 1311, Violin Principal
MVS 1312, Viola Principal
MVS 1313, Violoncello Principal
MVS 1314, Double Bass Principal
MVS 1411, Violin Major
MVS 1412, Viola Major
MVS 1413, Cello Major
MVS 1414, Double Bass Major
MVS 2321, Violin Principal
MVS 2322, Viola Principal
MVS 2323, Violoncello Principal
MVS 2324, Double Bass Principal
MVS 2421, Violin Major
MVS 2422, Viola Major
MVS 2423, Cello Major
MVS 2424, Double Bass Major
MVS 3331, Violin Principal
MVS 3332, Viola Principal
MVS 3333, Violoncello Principal
MVS 3334, Double Bass Principal
MVS 3431, Violin Major
MVS 3432, Viola Major
MVS 3433, Cello Major
MVS 3434, Double Bass Major
MVS 4342, Viola Principal
MVS 4344, Double Bass Principal
MVS 4441, Violin Major
MVS 4442, Viola Major
MVS 4443, Cello Major
MVS 4444, Double Bass Major
MVV 1211, Applied Voice
MVV 1311, Voice Principal
MVV 1411, Voice Major
MVV 2321, Voice Principal
MVV 2421, Voice Major
MVV 3331, Voice Principal
MVV 3431, Voice Major
MVV 4341, Voice Principal
MVV 4441, Voice Major
MVW 1213, Applied Clarinet
MVW 1215, Applied Saxophone
MVW 1311, Flute Principal
MVW 1312, Oboe Principal
MVW 1313, Clarinet Principal
MVW 1314, Bassoon Principal
MVW 1315, Saxophone Principal
MVW 1411, Flute Major
MVW 1412, Oboe Major
MVW 1413, Clarinet Major
MVW 1414, Bassoon Major
MVW 1415, Saxophone Major
MVW 2321, Flute Principal
MVW 2322, Oboe Principal
MVW 2323, Clarinet Principal
MVW 2324, Bassoon Principal
MVW 2325, Saxophone Principal
MVW 2421, Flute Major
MVW 2422, Oboe Major
MVW 2423, Clarinet Major
MVW 2424, Bassoon Major
MVW 2425, Saxophone Major
MVW 3331, Flute Principal
MVW 3332, Oboe Principal
MVW 3333, Clarinet Principal
MVW 3334, Bassoon Principal
MVW 3335, Saxophone Principal
MVW 3431, Flute Major
MVW 3432, Oboe Major
MVW 3433, Clarinet Major
MVW 3434, Bassoon Major
MVW 4341, Flute Principal
MVW 4342, Oboe Principal
MVW 4344, Bassoon Principal
MVW 4441, Flute Major
MVW 4442, Oboe Major
MVW 4443, Clarinet Major
MVW 4444, Bassoon Major
MVW 4445, Saxophone Major
NSC 1110, Introduction to Naval Science
NSC 1140, Sea Power and Maritime Affairs
NSC 2121, Naval Ships Systems I
NSC 2220, Evolution of Warfare
NSC 2231, Principles of Naval Management I
NSC 3123, Naval Ships Systems II
NSC 3225, Fundamentals of Maneuver Warfare
NSC 4224, Amphibious Warfare
NSC 4232, Principles of Naval Management II (Leadership and Ethics)
NSP 3147, Web-Based Education for Staff Development
NSP 3640, Introduction to Military and Veteran Healthcare
NSP 3667, Introduction to Global Health
NSP 3875, Digital Health
NSP 4095, Registered Nurse First Assistant Course
NSP 4148, Simulation for Nursing Practice
NSP 4545, Substance Abuse Across the Lifespan
NSP 4614, Preventative Cardiology for Healthcare Professionals
NSP 4880, Foundations of Healthcare QI & Patient Safety
NUR 3026, Patient Centered Care: Essentials of Nursing Practice
NUR 3066, Health Assessment Wellness and Prevention Across the Life Span
NUR 3078, Information Technology Skills for Nurses
NUR 3081, Bridge to Professional Nursing
NUR 3125, Pathophysiology for Nursing Practice
NUR 3145, Pharmacology in Nursing Practice
NUR 3225, Complex Health Nursing I
NUR 3678, Nursing Healthcare for Vulnerable Populations
NUR 3805, Nursing as a Profession
NUR 3825, Introduction to the Profession of Nursing
NUR 3826, Ethical/Legal Aspects in Nursing and Healthcare
NUR 4069, Health Assessment for Registered Nurses
NUR 4128, Pathophysiology/Pharmacology
NUR 4165, Evidence-Based Practice
NUR 4227, Complex Health Nursing II
NUR 4285, Healthy Aging: Nursing Care of Older Adults
NUR 4467, Nursing Care of Women Children and Families
NUR 4535, Psychiatric Mental Health Nursing
NUR 4635, Public Health Nursing
NUR 4690, Introduction to Ambulatory Care Nursing
NUR 4827, Role Transition and Leadership in Nursing
NUR 4850, Fundamentals of Healthcare Finance for Nurses and Nurse Leaders
NUR 4888, Coordination of Care in Nursing
NUR 4895, Educational Role of the Nurse in Healthcare
NUR 4935, Selected Topics In Nursing
NUR 4937, Nursing Seminar
OCB 3108, Marine Field Studies
OCB 3265, Coral Reefs
OCB 4204, Coral Reef Ecology
OCE 2001, Introduction to Oceanography
OCE 4930, Selected Topics in Marine Science
ORI 3004, Communication as Performance
ORI 4019, Performing Identity and Culture
ORI 4150, Performing Nonfiction
ORI 4220, Performing Young Adult Literature
ORI 4310, Group Performance of Literature
ORI 4320, Writing for Performance
ORI 4410, Performance Art
ORI 4460, Performing Relationships
ORI 4461, Listening and Performance
ORI 4931, Performance and Video
OSE 4601, Optical Product Technology
PAD 3003, Introduction to Public and Community Service
PAD 4144, Nonprofit Organizations and Public Policy
PAD 4204, Public Financial Administration
PAD 4415, Personnel & Supervision in Today’s Diverse Organizations
PAD 4712, Managing Information Resources in the Public Sector
PAD 4930, Selected Topics in Public Administration and Public Policy
PCB 3023, Cell Biology
PCB 3043, Principles of Ecology
PCB 3063, General Genetics
PCB 3306, Stream Ecology
PCB 3404, Medicines of the Rainforest
PCB 3712, General Physiology
PCB 4024, Molecular Biology of the Cell
PCB 4026, Molecular Biology of the Gene
PCB 4109, Cancer Biology
PCB 4234, Principles of Immunology
PCB 4312, Marine Ecosystem Dynamics
PCB 4315, Marine Ecology
PCB 4334, Ecosystem Ecology
PCB 4402, Disease Ecology
PCB 4408, Urban Ecology
PCB 4663, Human Genetics
PCB 4674, Organic Evolution
PCB 4707, Survival Physiology
PCB 4744, Biomedical Physiology
PCB 4812, Venoms Poisons and Toxins
PCB 4955, USF Singapore Urban Ecology
PEL 1121, Golf I
PEL 1341, Tennis I
PEL 2122, Golf II
PEM 2131, Weight Training
PEM 2930, Selected Topics
PEN 2136, Skin & Scuba Diving
PET 3031, Motor Behavior
PET 3076, Physical Activity in Diverse Populations
PET 3211, Stress Health and Disease
PET 3312, Biomechanics
PET 3314, Survey in Exercise Science
PET 3361, Nutrition for Fitness and Sport
PET 3364, Physical Activity Epidemiology
PET 3370, Science of Weight Management
PET 3384, Exercise Testing and Prescription
PET 3404, Emergency Response and Planning
PET 3421, Curriculum and Instruction in Physical Education
PET 3441, Instructional Design and Content: Middle School Physical Education
